CB,William Jackson III,Houston,4.37,72,189,1,Great ball skills,Smooth,Good recovery speed,Mental lapses,Very productive,,,
CB,Mackenzie Alexander,Clemson,4.49,70,190,1,Great man to man,Allowed 0 TD,Good tackler,Plays big,,,,
CB,Eli Apple,Ohio St,4.4,73,199,1,Great man to man,Cover corner,Breaks up passes,Not a ball hawk,Bad tackler,PI machine,,
CB,Tavon Young,Temple,4.46,69,183,5,Small,Good Senior Bowl,Good instincts,Good against run,Physical,Clumsy,Production fell off,Nickel corner
CB,Jonathan Jones,Auburn,4.33,69,186,4,Undersized,Great Senior Bowl,Very productive,Good instincts,Inconsistent tackler,PI machine,Great speed,
CB,James Bradberry,Samford,4.5,73,211,6,Good Senior Bowl,Huge wingspan,Quick,Small school,Very raw,,,
CB,Kalan Reed,Southern Miss,4.47,71,192,5,Very productive,Good closer,Big hitter,Gambler,Ball hawk,,,
CB,De'Vante Harris,Texas A&M,4.56,71,176,7,Ball hawk,Very productive,Lacks size,Reckless,,,,
CB,Artie Burns,Miami FL,4.46,72,193,2,Great press coverage,Good ball skills,Raw,Relies on athletism too much,Great speed,,,
CB,Cyrus Jones,Alabama,4.49,70,197,3,Good against run,Smart,Takes plays off,,,,,
CB,Xavien Howard,Baylor,4.58,72,201,2,Raw,Good ball skills,Good production,Gets beat,Lacks ability to recover,Lacks awareness,,
CB,Kendall Fuller,Virginia Tech,4.48,71,187,2,Four brothers in NFL,Good ball skills,Fluid,Good tackler,Gets burned,Lacks speed,,
CB,DeAndre Elliott,Colorado St,4.55,73,188,7,Good technique,Explosive,Not great tackler,Lacked production,Durabilty concerns,,,
CB,Ryan Smith,NC Central,4.45,71,189,3,Fluid,Smart,Good ball skills,Unpolished,Gambler,,,
CB,DJ White,Geogia Tech,4.49,71,193,4,Good athlete,Versatile,Good ball skills,Good tackler,More quick than fast,Inconsistent,,
CB,Brandon Williams,Texas A&M,4.34,71,197,7,RB turned CB,Very raw,Physical,Aggressive,Team player,,,
CB,Sean Davis,Maryland,4.44,73,201,2,Very productive,Better as a S than CB,Gambler,Fluid,Good against run,Good speed,Played CB,
DE,Chris Jones,Miss St,5.03,78,310,2,Inconsistent,Strong,3-4 DE,,,,,
DE,Bronson Kaufusi,BYU,4.87,78,285,2,3-4 DE,Very productive,More finesse than strength,Motor,,,,
DE,A'Shawn Robinson,Alabama,5.2,76,307,1,Pure power,Great tackler,Led Alabama in sacks,Doesn't impose his will,Loses leverage often,Kinda raw,,
DE,Kenny Clark,UCLA,,75,314,1,Smart,Run stopper,3-4 DE?,Playmaker,Mistake prone,,,
DE,Robert Nkemdiche,Ole Miss,4.87,75,294,1,Playmaker,Character issues,Doesn't fit scheme,Great pass rusher,Lacks run support,Edge rusher,,
ILB,Reggie Ragland,Alabama,4.72,73,247,1,Versatile,Could edge rush,Big hitter,Run stopper,Missed tackles,,,
NT,Andrew Billings,Baylor,,73,311,1,Bull rusher,Playmaker,Can struggle on edge,Productive,,,,
NT,Jarran Reed,Alabama,,75,307,1,Run stopper,Good technique,Handles double teams,Pedigree,Lacks pass rush,,,
NT,Vernon Butler,LA Tech,,76,323,1,Productive,Eats up double teams,Good pass rush,Great athletism,Inconsistent,Not fluid,,
DE,Javon Hargrave,South Carolina St,,73,309,3,Very productive,Pass rusher,Surprising quickness,Very raw,Doesn't anchor,Lacks instincts,,
